URL Source,Article,Summary
https://www.bbc.com/hindi/sport/story/2008/03/080301_cricket_newrecord,"दोनों ने भारत के वीनू मनकड और पंकज राय का 52 साल पुराना रिकॉर्ड तोड़ दिया. स्मिथ और मैकेंज़ी ने चटगांव में बांग्लादेश के ख़िलाफ़ दूसरे टेस्ट के दूसरे दिन शनिवार को पहले विकेट के लिए 415 रन जोड़े. वीनू मनकड और पंकज राय ने छह जनवरी 1956 को चेन्नई में न्यूज़ीलैंड के ख़िलाफ़ पहले विकेट के लिए 413 रन की साझेदारी का विश्व रिकॉर्ड बनाया था. रिकॉर्ड को सलाम दक्षिण अफ्रीकी जोड़ी ने शकीब अल हसन की गेंद पर एक रन चुराकर जैसे ही मनकड़-पंकज राय के रिकॉर्ड को पीछे छोड़ा, स्टेडियम में मौजूद दर्शकों और ड्रेसिंग रूम में मौजूद दक्षिण अफ्रीकी क्रिकेटरों ने खड़े होकर उनके इस कारनामे को सलाम किया. हालाँकि विश्व रिकॉर्ड पार करने के दो रन बाद ही स्मिथ-मैकेंज़ी की जोड़ी टूट गई. स्मिथ को बाएँ हाथ के स्पिनर अब्दुर रज़्ज़ाक ने बोल्ड आउट किया. बाएँ हाथ के बल्लेबाज़ स्मिथ ने 277 गेंदों पर 33 चौकों और एक छक्के की मदद से 232 रनों की शानदार पारी खेली. विश्व रिकॉर्ड साझेदारी में मैकेंज़ी का योगदान 212 रनों का रहा. पहले विकेट के लिए सबसे बड़ी साझेदारियों के फ़ेहरिस्त में तीसरे नंबर पर भी भारतीय जोड़ी ही है. वर्ष 2006 में वीरेंद्र सहवाग और राहुल द्रविड़ ने पाकिस्तान के ख़िलाफ़ लाहौर में 410 रन की साझेदारी की थी.","स्मिथ और मैकेंज़ी की जोड़ी ने बनाया विश्व रिकॉर्ड, भारत ने बनाया इतिहास, बनाया इतिहास"
https://www.bbc.com/hindi/india-45015573,"ये खबर इंडियन एक्सप्रेस के पहले पन्ने पर है. पार्टी ने कहा कि अगर वो पश्चिम बंगाल में जीतती है तो वहां भी राष्ट्रीय नागरिकता रजिस्टर तैयार करेगी. पश्चिम बंगाल में बीजेपी के प्रभारी कैलाश विजयवर्गीय ने दावा किया कि पश्चिम बंगाल में ऐसे प्रवासियों की 'संख्या करोड़ों में हो सकती है'. वहीं पश्चिम बंगाल की मुख्यमंत्री ममता बनर्जी ने केंद्र पर आरोप लगाया कि उसने भारतीय नागरिकों को शरणार्थी बना दिया है. उन्होंने कहा कि जो लोग असम से पश्चिम बंगाल शरण मांगने आएंगे वो उनके लिए शेल्टर होम बनाने पर विचार कर रही है. क्या 40 लाख लोगों को बांग्लादेश भेज सकेगा भारत? मणिपुर 'फेक एंकाउंटर' पर सीबीआई को फटकार मणिपुर के कथित फर्ज़ी एनकाउंटर मामले में सुप्रीम कोर्ट ने सीबीआई के चीफ आलोक वर्मा को कड़ी फटकार लगाई. सुप्रीम कोर्ट ने उनसे पूछा कि इन मामलों में जांच जल्दी खत्म कर अभियुक्त सेना और पुलिस के जवानों के ख़िलाफ़ कार्रवाई क्यों नहीं की जा रही है. ये ख़बर टाइम्स ऑफ इंडिया समेत कई अख़बारों के पहले पन्ने पर है. सुप्रीम कोर्ट सोमवार को न्यायिक हिरासत में हुई कथित 1528 हत्याओं को लेकर दायर की गई जनहित याचिका पर सुनवाई कर रहा था. कोर्ट ने पिछले साल जुलाई में इनमें से 81 मामलों में एफआईआर दर्ज करने का आदेश दिया था. 'एनकाउंटरों' पर सुप्रीम कोर्ट ने यूपी पुलिस से क्यों मांगा जवाब? रांची में बुराड़ी जैसा कांड दिल्ली के बुराड़ी जैसा ही एक मामला झारखंड की राजधानी रांची में सामने आया है. यहां भी एक ही परिवार के सात सदस्य घर में मृत मिले हैं. ये खबर हिंदुस्तान टाइम्स में छपी है. पुलिस के मुताबिक़ इन लोगों के फ्लैट से दो सुइसाइड नोट बरामद किए गए हैं. शुरुआती जांच से लग रहा है कि पूरे परिवार ने सामूहिक आत्महत्या की है. पुलिस के मुताबिक़ परिवार पर काफी कर्ज था, जो आत्महत्या की वजह हो सकता है. वहीं दैनिक भास्कर कहता है कि मां-बाप समेत परिवार के पांच लोगों की हत्या कर दो भाइयों ने खुदकुशी कर ली थी. बुराड़ी की 11 मौतों का रहस्य और 11 अनसुलझे सवाल खतना संवैधानिक अधिकारों का हनन दाऊदी बोहरा मुस्लिम समुदाय में बच्चियों के खतना की प्रथा पर सोमवार को सुप्रीम कोर्ट ने सवाल उठाए. दैनिक भास्कर के मुताबिक इसे असंवैधानिक बताते हुए कोर्ट ने कहा कि महिलाओं का खतना सिर्फ इसलिए नहीं किया जा सकता कि उन्हें शादी करनी है. कोर्ट ने कहा कि उनका जीवन सिर्फ शादी और पति के लिए नहीं होता. वहीं अटॉर्नी जनरल वेणुगोपाल ने कहा कि यह प्रथा आईपीसी और पॉक्सो एक्ट के तहत अपराध है. 42 देश इस पर रोक लगा चुके हैं, जिनमें से 27 अफ्रीकी हैं. 'मेरा खतना हुआ, बेटी का नहीं होने दूंगी' क्रिप्टोकरेंसी के नाम पर 50 करोड़ ठगे क्रिप्टोकरेंसी या वर्चुअल करेंसी के ज़रिए एनसीआर समेत देशभर में एक हज़ार से ज़्यादा लोगों के साथ 50 करोड़ रुपए की ठगी का मामला सामने आया है. हिंदुस्तान के मुताबिक़ अभियुक्तों ने 250 दिनों में रकम तीन गुना करने का झांसा देकर पैसे हड़पे और फिर वेबसाइट बंद कर दी. पीड़ितों ने सोमवार को दो अभियुक्तों को पकड़कर पुलिस के हवाले कर दिया. कंपनी ने शुरुआत में दो से तीन माह तक निवेशकों को वादे के मुताबिक़ पैसे लौटाए भी थे. संगीत के साथ क्रिप्टोकरेंसी के फ़ायदे-नुकसान समझाती लड़कियां (बीबीसी हिन्दी एंड्रॉएड ऐप के लिए यहां क्लिक कर सकते हैं. हमें फ़ेसबुक, ट्विटर, इंस्टाग्राम और यूट्यूब पर फ़ॉलो भी कर सकते हैं.)",पश्चिम बंगाल: बीजेपी ने पश्चिम बंगाल में अवैध प्रवासियों के ख़िलाफ़ कार्रवाई क्यों नहीं की? - मीडिया रिपोर्ट
https://www.bbc.com/hindi/news/story/2008/11/081122_obamateam_shares_as,"माना जा रहा है कि हाल में अमरीकी राष्ट्रपति चुने गए बराक़ ओबामा की टीम में न्यूयॉर्क फ़ेडरल रिज़र्व बैंक के अध्यक्ष टिमुथी गाइट्नर को वित्त मंत्रालय का कार्यभार सौंपे जाने की संभावना के कारण ऐसा हुआ है. उधर एशिया-प्रशांत देशों के सम्मेलन से पहले अमरीकी राष्ट्रपति जॉर्ज बुश ने चीनी राष्ट्रपति हू जिंताओ से पेरू में बातचीत की है. इस सम्मेलन में अंतरराष्ट्रीय वित्तीय संकट पर चर्चा होने की संभावना है. पर्यवेक्षकों का मानना है कि राष्ट्रपति बुश पेरू में मौजूद एशियाई और अमरीकी नेताओं पर दबाव डालेंगे कि वे 20 बड़ी अर्थव्यवस्थाओं के नेताओं के पिछले हफ़्ते लिए गए आर्थिक सुधारों के फ़ैसले का समर्थन करें. हल खोजने में सक्रिय गाइट्नर पर्यवेक्षकों का कहना है कि टिमुथी गाइट्नर 1930 के बाद सबसे बड़ा आर्थिक संकट झेल रही अमरीकी अर्थव्यवस्था को इससे बाहर निकालने के प्रयास कर रहे अधिकारियों में सबसे प्रमुख रहे हैं. टिमुथी गाइट्नर के बारे में एनबीसी नेटवर्क ने ख़बर दी थी और निवेशकों की ओर से इस पर काफ़ी सकारात्मक प्रतिक्रिया आई. गाइट्नर वर्तमान वित्त मंत्री हेनरी पॉलसन के साथ वित्तीय संकट का हल खोजने और अर्थव्यवस्था में सुधार लाने में सक्रिय रहे हैं. टेमिस ट्रडिंग के जो सालुज़ी का कहना था, ""यह एक छोटी सी अच्छी ख़बर है क्योंकि ये अनिश्चितता दूर करती है."" लेकिन विश्व के एक बड़े बैंक सिटीग्रुप के शेयर लगभग 20 प्रतिशत गिरे हैं. सिटीग्रुप ने हाल में घोषणा की थी कि पूरे विश्व में फैले इस बैंक में 52 हज़ार कर्मचारियों की छंटनी की जाएगी.",टिमुथी गाइट्नर को वित्त मंत्रालय का कार्यभार सौंपे जाने की संभावना है
https://www.bbc.com/hindi/india/2015/02/150208_wusatullah_khan_blog_on_aib_tk,"लेकिन जब हम अपने डेस्क पर बैठकर ख़बर बनाते हैं या स्क्रिप्ट लिखते हैं या किसी अजनबी से बात करते हैं, क्लास रूम में पढ़ते या पढ़ाते हैं या अपने बच्चों से गप लड़ाते हैं या बुजुर्गों से मिलते हैं या फिर टीवी रेडियो के स्टूडियो में लाइव होते हैं तो हमारी भाषा और अंदाज बिल्कुल मुखतलिफ़ होता है. और जब हम अपने बच्चों, परिवार और दोस्तों के साथ किसी जलसे या संस्था में किसी स्टेज शो, या फिल्म या ड्रामा देखने जाते हैं या म्युजिक कॉंसर्ट में पंजों के बल उछलते हैं तो इस यकीन के साथ कि वहां कोई ऐसी अश्लीलता सुनने को नहीं मिलेगी जिसके बाद हम ख़ुद से या आसपास वालों से आंखे चुराने लगें. लेकिन जब ये एतबार उठ जाए कि कौन किस वक्त क्या बोल जाएगा या अपलोड कर देगा तो फिर बहुत दिक्कत होने लगती है. बाज़ारी और ग़ैर बाज़ारी भाषा, सस्ते और मयारी शब्दों का फ़र्क मिटने के फैशन पर बहुत कम लोग गुस्सा करते हैं. ज़्यादा लोग यही कहते हैं कि क्या करें जी आजकल तो सब ही चलता है. समाप्त क्या मतलब है? लेकिन मेरी मुश्किल आजकल और बढ़ गई है. जब मेरा सात साल का बेटा राफ़े पूछ लेता है बाबा, जिसको 'डांस नहीं करना है, जाके अपनी भैंस चराए' का क्या मतलब है, या जब राफ़े अपना पसंदीदा गाना सुनाता है, मैं सुपरमैन, सलमान का फ़ैन, जो लेवे पंगा, कर दूंगा...**** 'बाबा, कर दूंगा **** किसे कहते हैं और जो ये कहता है, जो उखाड़ना है उखाड़ ले, क्या मतलब है इसका बाबा.' लेकिन कसूर तो मेरा है. मैंने ही राफ़े को टीवी लाकर दिया. मैं ही उसे सिनेमा में हिंदी फ़िल्में दिखाने ले जाता हूं. मैंने ही उसे लैपटॉप का पासवर्ड बताया. बहुत पैसे खर्च किए हैं मैंने, ताकि वो मुझसे पूछे - 'बाबा जो उखाड़ना है उखाड़ ले, का क्या मतलब है.' और पिछले मंगलवार को यह भी हो गया कि जब मैं घर आया तो राफ़े साहेब इंटरनेट पर कुछ देख रहे थे. मैं समझा कोई वीडियो गेम खेल रहे होंगे. जब मुझे लैपटॉप के स्पीकर से नंगी गालियां सुनाई दीं तो राफ़े ने शायद मेरे आसपास होने की वजह से वो साइट क्लोज कर दी. थोड़ी देर बाद ख़ुद ही लैपटॉप बंद करके मेरे पास आ गया. उसने पूछा - 'बाबा, ये रणवीर सिंह और अर्जुन कपूर इतनी गालियां क्यों देते हैं?' नहीं चलता सब कुछ मैंने कहा भई मुझे भी दिखाओ. तो फिर राफ़े साहब ने लैपटॉप ऑन करके वो वेबसाइट दिखाई जिस पर एआईबी नॉकआउट शो अपलोड था. फिर राफ़े ने पूछा - 'ये इतने सारे लोग हंस क्यों रहे हैं गालियां सुनके. क्या ये कोई फ़नी बात है.' मुझे ख़ुशी है कि राफ़े को सात साल की उम्र में ही पता चल गया कि अश्लीलता फ़नी नहीं होती. और मुझे ख़ुशी है कि राफ़े को गालियां सुनकर हंसने वाले 4000 पढ़े-लिखों को लोटपोट होते देखकर पूछना पड़ गया कि ये हंस क्यों रहे हैं बाबा. थैंक यू रणवीर सिंह, अर्जुन कपूर और करण जौहर एंड कंपनी. राफ़े अब तुम्हें पसंद नहीं करता. कम से कम तुम्हारा एक फ़ैन तो कम हो गया. हां तुम्हें कोई फर्क नहीं पड़ता, मगर राफ़े को जरूर पड़ गया है. माना कि आजकल सब कुछ चलता है मगर आज भी सब कुछ नहीं चलता. (बीबीसी हिन्दी के एंड्रॉएड ऐप के लिए आप यहां क्लिक कर सकते हैं. आप हमें फ़ेसबुक और ट्विटर पर फ़ॉलो भी कर सकते हैं.)","'बाबा, क्लास रूम में पढ़ते या पढ़ाते हैं तो क्या करें' - देखें वीडियो"
https://www.bbc.com/hindi/sport/story/2008/08/080812_olympic_empty_seat,"ओलंपिक खेल की संयोजक समिति के अधिकारियों ने माना है कि खेल के मैदान में लोगों की भीड़ नहीं पा कर वे स्वयंसेवकों की सहायता ले रहे हैं ताकि मैदान में माहौल को सुधारा जा सके. ओलंपिक खेल की संयोजक समिति के वरिष्ठ अधिकारी वांग वे ने कहा कि अन्य ओलंपिक खेलों में भी इस तरह की परेशानियों का सामना करना पड़ा है. यह बयान तब आया है जब दर्शकों और पत्रकारों ने पाया कि हालांकि खेल के लिए सभी टिकट बिक चुके हैं फिर भी खेल के कुछ मैदानों में दर्शकों की भीड़ बहुत कम दिखती है. संवादताओं से बातचीत करते हुए वांग ने कहा, ""हमें भी इस बात की फ़िक्र है कि क्यों स्टेडियम में दर्शकों की भीड़ नहीं है."" उन्होनें कहा कि बारिश, गर्म मौसम के साथ साथ कई कारण है जिसकी वजह से ऐसा हुआ है. वांग ने कहा कि कुछ दर्शक सिर्फ़ कुछ विशेष खेल के लिए ही स्टेडियम आते हैं जबकि उनके पास पूरे सेशन का टिकट है. दुखद अनुभव उन्होंने कहा, ""बीच वॉलीबॉल और बास्केट बॉल के लिए दर्शकों के पास सुबह, दोपहर और शाम के लिए एक ही टिकट होता है. वे किसी एक खेल को देखने स्टेडियम जाते हैं, सभी के लिए नहीं."" उन्होनें कहा कि जब उन्हें लगता है कि दर्शकों की संख्या काफ़ी कम है वे चीयरलीडर्स को 'एक अच्छा माहौल बनाने के लिए' बुला लेते हैं. रविवार को चीन और अमरीका के बीच हुए पुरुष बास्केट बॉल मैच में दर्शकों की उपस्थिति काफ़ी कम थी. यही हाल जूडो, बैडमिंटन और वाटर पोलो जैसे खेलों के लिए भी रहा. जूडो देखने पहुँचे एक दर्शक का कहना था, ""पूरा स्टेडियम खाली पड़ा था. काफ़ी दुखद है यह."" शुक्रवार को हुए ओलंपिक के शुरुआती समारोह में भी कई सीटें खाली पड़ी थी. स्टेडियम में खाली पड़ी सीटों की एक वजह यह हो सकती है कि प्रायोजकों के लिए जो सीट सुरक्षित होती है वहाँ कोई नहीं पहुँचे. ऐसे टिकट पाने वाले एक व्यक्ति का कहना था कि ज़्यादातर टिकट इतनी देर से दिए जाते हैं कि इन मैचों के लिए समय से स्टेडियम पहुँचना काफ़ी मुश्किल हो जाता है.","ओलंपिक खेल की संयोजक समिति ने कहा, ""हमें भी इस बात की फ़िक्र है कि क्यों स्टेडियम में दर्शकों की भीड़ नहीं है"""
https://www.bbc.com/hindi/entertainment/2016/01/160111_hritik_roshan_more_films_adp,"वर्ष 2000 में फ़िल्म 'कहो ना प्यार है' से बॉलीवुड में अपने करियर की शुरूआत करने वाले अभिनेता ऋतिक रोशन अपनी फ़िल्मों के बीच लंबा अंतराल रखने के लिए जाने जाते हैं. हाल ही में पत्रकारो से बात करते हुए ऋतिक ने कहा, ""फ़िल्म 'मोहनजोदाड़ो' की शूटिंग ने काफ़ी लंबा समय ले लिया, मैं अब से कोशिश करूंगा की हर वर्ष एक से ज़्यादा फ़िल्में करूं."" आशुतोष गोवारिकर के निर्देशन में बन रही इस फ़िल्म की शूटिंग काफ़ी लंबे समय तक चली जिसके पीछे कई कारण हैं. पिछले वर्ष जुलाई के महीने में इस फ़िल्म की शूटिंग रुक जाने की भी ख़बरें आई थी. हालांकि अब इस फ़िल्म की शूटिंग ख़त्म हो गई है और ख़बरों के अनुसार फ़िल्म इस वर्ष रिलीज़ होगी. समाप्त ऋतिक की पिछली फ़िल्म वर्ष 2014 में आई सिद्धार्थ आनंद द्वारा निर्देशित 'बैंग-बैंंग' बॉक्स ऑफ़िस पर कुछ ख़ास कमाल नहीं दिखा सकी थी. ऋतिक उम्मीद जताते हैं कि मोहनजोदाड़ो दर्शकों को काफ़ी पसंद आएगी. वे कहते हैं, ""मैं इस फ़िल्म से बेहद ख़ुश और संतुष्ट हूं और उम्मीद करता हूं की दर्षकों को भी यह फ़िल्म पसंद आएगी."" रविवार को ऋतिक ने अपना 42वां जन्मदिन भी मनाया और इस मौक़े पर वे इंडस्ट्री के अपने क़रीबी दोस्तों के साथ जश्न मनाते दिखे. (बीबीसी हिन्दी के एंड्रॉएड ऐप के लिए यहां क्लिक करें. आप हमें फ़ेसबुक और ट्विटर पर भी फ़ॉलो कर सकते हैं.)",ऋतिक रोशन की फ़िल्म 'कहो ना प्यार है' से बॉलीवुड में अपने करियर की शुरूआत
https://www.bbc.com/hindi/regionalnews/story/2005/11/051119_musharraf_kashmir,"परवेज़ मुशर्रफ़ शनिवार को इस्लामाबाद में अंतरराष्ट्रीय दानकर्ता देशों के एक सम्मेलन का उदघाटन करते हुए बोल रहे थे. परवेज़ मुशर्रफ़ ने कहा, ""दोनों देशों के पास अब एक अभूतवूर्व मौक़ा है और अगर कश्मीर मुद्दे का समाधान हो जाता है तो यह कश्मीर के लिए भारतीय दान होगा."" ग़ौरतलब है कि पाकिस्तान प्रशासित कश्मीर में भूकंप पीड़ितों की मदद के लिए भारत ने सहायता पहुँचाई है और कश्मीर में पाँच स्थानों पर नियंत्रण रेखा भी खोली गई है. दोनों देश कश्मीर मुद्दे पर 1947 से तीन युद्ध लड़ चुके हैं. सम्मेलन पाकिस्तान के विदेश मंत्रालय के अनुसार इस्लामाबाद में हो रहे सम्मेलन में 50 देशों और संगठनों के प्रतिनिधियों ने हिस्सा लिया. सम्मेलन में भाग लेने गए संयुक्त राष्ट्र महासचिव कोफ़ी अन्नान ने प्रतिनिधियों से अपील की है कि वे उदारता से राहत कार्य में अपना योगदान दें. पाकिस्तान में आठ अक्तूबर को मुख्य रूप से कश्मीर क्षेत्र में आए भूकंप के कारण 73,000 से अधिक लोगों की जान चली गई थी. भूकंप के कारण लगभग 30 लाख लोग बेघर हो गए थे. पाकिस्तान के राष्ट्रपति परवेज़ मुशर्रफ़ शुक्रवार को कोफ़ी अन्नान को उन इलाक़ों में ले गए जो भूकंप के केंद्र के निकट थे. कोफ़ी अन्नान ने कहा कि इन इलाक़ों का दौरा करने के बाद वे प्रभावित भी हुए हैं और दुःखी भी. उन्होंने कहा, ""उन घरों की संख्या को देखकर निराशा हुई जो बिल्कुल नष्ट हो गए हैं लेकिन साथ ही लोगों में जिसतरह के सहयोग की भावना है उसे देखकर मैं प्रभावित भी हुआ हूँ"". इस्लामाबाद स्थित बीबीसी संवाददाता का कहना है कि कोफ़ी अन्नान ने सम्मेलन से पहले ऐसे बयान देकर ये कोशिश कर रहे हैं कि अंतरराष्ट्रीय समुदाय स्थिति की नज़ाकत को समझे.",पाकिस्तान के राष्ट्रपति परवेज़ मुशर्रफ़ ने कश्मीर मुद्दे पर भारत से सहयोग की अपील की
https://www.bbc.com/hindi/international/2013/09/130924_taliban_pakistan_talks_aa,"पेशावर में चर्च पर हमले की चौतरफा निंदा हुई कई बरसों से चरमपंथी हिंसा से जूझ रहे पाकिस्तान में प्रधानमंत्री नवाज़ शरीफ़ की सरकार चरमपंथियों से बातचीत के ज़रिए शांति की तरफ कदम बढ़ाने की योजना बना रही थी, लेकिन जानकारों का कहना है कि हाल के दिनों में एक के बाद एक चरमपंथी हमलों से उसकी कोशिशों पर पानी फिरता दिख रहा है. पाकिस्तान के ख़ैबर पख़्तूनख्वाह के अपर दीर इलाके में पिछले दिनों चरमपंथी हमले में जहां सेना के एक मेजर जनरल और एक लेफ्टिनेंट कर्नल की मौत हो गई वहीं पेशावर में चर्च पर हमले में 80 लोगों की मौत ने सरकार को सोचने पर मजबूर किया है. पेशावर से बीबीसी संवाददाता अज़ीज़ुल्लाह ख़ान कहते हैं कि पेशावर के हमले ने चरमपंथियों से बातचीत की कोशिशों पर सवालिया निशान लगा दिया है. 'नहीं गंवाएंगे मौका' रक्षा मामलों के जानकार ब्रिगेडियर सईद महमूद मानते है कि इस मुद्दे को कभी बातचीत की तरफ जाना ही नहीं था. उनके अनुसार, “बातचीत के लिए चरमपंथियों की तरफ से शर्तें छन-छन कर आ रही थीं. इनमें सभी कैदियों की रिहाई और चरमपंथी संगठनों के खिलाफ सैन्य अभियान को बंद करना शामिल था.” वो कहते हैं, “जब चरमपंथी हमले में मेजर जनरल सनाउल्ला मारे गए तो सेना ने संकेत दे दिया था कि वो अगर इस मुद्दे पर कोई बड़ी कार्रवाई नहीं करेगी तो बातचीत के मुद्दे को भी गंभीरता से नहीं लेगी.” महमूद मानते है कि जब तक उत्तरी वज़ीरिस्तान में चरमपंथियों के ठिकाने मौजूद रहेंगे, पाकिस्तान में इस तरह के हमलों को रोक पाना मुश्किल होगा. अपर दीर इलाके में पाकिस्तानी सेना को निशाना बनाए जाने के बाद तालिबान ने कहा था कि बातचीत के लिए संघर्षविराम का एलान नहीं हुआ है. ऐसे में अगर उनके खिलाफ कार्रवाई होती है तो वो भी कोई मौका नहीं गंवाएँगे. चरमपंथियों के हालिया दो बड़े हमले पाकिस्तान के ख़ैबर पख़्तूनख़्वाह में हुए हैं जहां पाकिस्तान तहरीक-ए-इंसाफ के नेतृत्व वाली गठबंधन सरकार चल रही है. 'बातचीत मुनासिब नहीं' पाकिस्तान कई साल से चरमपंथी हिंसा से जूझ रहा है तहरीके इंसाफ की सांसद मुंज़ा हसन मानती हैं कि पेशावर में चर्च पर हमला होने के बाद सरकार और तालिबान के बीच बातचीत बहुत मुश्किल हो गई है. उनका कहना है कि इस हमले में जो भी चरमपमंथी संगठन शामिल है उसके साथ बातचीत करना मुनासिब नही होगा. वो कहती हैं, “पेशावर के हमले ने देश की बुनियादें हिला दी हैं. ऐसे में बातचीत बहुत ही मुश्किल है. ये नहीं हो सकता है कि एक तरफ तो आप बात करते रहें और अगला आपके ऊपर हमले करता रहे.” सईद महमूद मानते हैं कि चरमपंथी हमलों के बीच बातचीत के प्रयासों को आगे बढ़ाना प्रधानमंत्री नवाज़ शरीफ़ के लिए मुश्किल होगा. वो कहते हैं कि शरीफ़ कतई नहीं चाहेंगे कि अंतरराष्ट्रीय स्तर पर उनकी पहचान ऐसे नेता के रूप में बने जिसका अपने देश पर नियंत्रण नहीं है और जहां अल्पसंख्यकों को किसी की तरह की सुरक्षा ही नहीं है. सईद महमूद के मुताबिक, “सरकार को कुछ तो करना होगा. ऐसे तो नहीं चल सकता है.” (बीबीसी हिंदी का एंड्रॉयड मोबाइल ऐप डाउनलोड करने के लिए यहाँ क्लिक करें. आप ख़बरें पढ़ने और अपनी राय देने के लिए हमारे फ़ेसबुक पन्ने पर भी आ सकते हैं और ट्विटर पर फ़ॉलो भी कर सकते हैं.)",पाकिस्तान में चरमपंथी हमले की चौतरफा निंदा हो रही है: नवाज़ शरीफ़
https://www.bbc.com/hindi/regionalnews/story/2006/08/060811_india_nuclear_security,एनएसजी बहुत ही विशिष्ठ मामलों में तैनात किए जाते हैं. अधिकारियों ने कहा है कि केंद्रीय गृह मंत्रालय के एक निर्देश के अनुसार एनएसजी के कमांडो को तमिलनाडु में कलपक्कम परमाणु ऊर्जा केंद्र की सुरक्षा के लिए तैनात किया गया है. मुंबई में 11 जुलाई को कई रेलगाड़ियों में हुए सिलसिलेवार बम धमाकों के बाद देश में सुरक्षा चौकसी बढ़ा दी गई है और केंद्रीय गृहमंत्रालय ने इसी चौकसी के तहत कलपक्कम परमाणु ऊर्जा केंद्र की भी सुरक्षा बढ़ाने के निर्देश दिए हैं. तमिलनाडु अधिकारियों ने राजधानी चेन्नई में बीबीसी संवाददाता जगदीशन को बताया कि एनएसजी के कमांडो को कलपक्कम में इंदिरा गाँधी परमाणु ऊर्जा अनुसंधान केंद्र के आसपास तैनात कर दिया गया है. कलपक्कम चेन्नई से लगभग 100 किलोमीटर दूर है. एनएसजी के कमांडो को ब्लैक कैट्स के नाम से भी जाना जाता है. ब्लैक कैट कमांडो को आतंकवाद निरोधक अभियान में निपुण समझा जाता है. तमिलनाडु में पुलिस ने कहा है कि कलपक्कम परमाणु ऊर्जा केंद्र पर ब्लैक कमांडो के अलावा केंद्रीय औद्योगिक सुरक्षा बल और स्थानीय पुलिस के जवान भी तैनात रहेंगे. तमिलनाडु के अलावा उत्तर प्रदेश के बुलंदशहर ज़िले में नरौरा परमाणु ऊर्जा केंद्र की सुरक्षा के लिए भी ब्लैक कैट कमांडो का एक अलग दल भेजा गया है. अधिकारियों का कहना है कि किसी संभावित ख़तरे की स्थिति में भारतीय सेना और वायु सेना की भी मदद तैयार रखने का अनुरोध किया गया है. देश के अन्य परमाणु ऊर्जा केंद्रों और अन्य महत्वपूर्ण इमारतों की सुरक्षा के लिए भी कुछ इसी तरह के एहतियाती उपाय किए जा रहे हैं.,कलपक्कम परमाणु ऊर्जा केंद्र पर ब्लैक कैट कमांडो की तैनाती की गई है
https://www.bbc.com/hindi/international/2013/02/130227_international_others_maldiv_sm,"मालदीव में इस तरह के मामले पहले भी आए हैं अदालत ने ये सजा लड़की को विवाह-पूर्व यौन संबंध स्थापित करने के आरोप में सुनाई है. लड़की ने पिछले साल आरोप लगाया था कि उसके सौतेले पिता ने उसका यौन शोषण किया और उनके बच्चे को मार डाला था. अभियोजकों का कहना था कि इस आरोप से बलात्कार का मामला साबित नहीं होता है. मानवाधिकार संगठन एमनेस्टी इंटरनेशनल ने इस सजा की आलोचना की है और इससे “क्रूर, अपमानजनक और अमानवीय” बताया है. मालदीव सरकार का भी कहना है कि वो इस फैसले से सहमत नहीं है और कानून में बदलाव की जरूरत है. नज़रबंद बाल न्यायालय की प्रवक्ता ज़ैमा नशीद का कहना है कि इस लड़की को आठ महीने तक बच्चों के एक घर में नजरबंद रहने का आदेश दिया गया है. प्रवक्ता ने इस सजा की पैरवी करते हुए कहा कि लड़की ने अपनी इच्छा से कानून का उल्लंघन किया था. अधिकारियों का कहना है कि लड़की को कोड़े तब लगाए जाएंगे जब वो 18 साल की हो जाएगी, या फिर यदि वो इसके लिए पहले तैयार हो जाती है. करीब चार लाख की आबादी वाले द्वीप समूहों के देश मालदीव में कानूनी तौर पर शरीया के साथ-साथ अंग्रेजी कानून से भी प्रभावित है. एमनेस्टी इंटरनेशनल के शोधकर्ता अहमद फैज़ का कहना है कि मारने-पीटने की सज़ा देना बहुत क्रूरता है और सरकार को इसे खत्म कर देना चाहिए. उनका कहना था, “हमें इस बात पर बेहद आश्चर्य है कि सरकार इस कानून को खत्म करने के लिए कुछ नहीं कर रही है. कानून की किताबों से ऐसी सजाओं को पूरी तरह से हटा देना चाहिए.” मालदीव में ये इस तरह का अकेला मामला नहीं है. ऐसे मामले इससे पहले भी प्रकाश में आते रहे हैं.",मालदीव: नाबालिग लड़की से बलात्कार के मामले में मालदीव की अदालत ने दी सजा
